01|Genesis|Génesis|gene
02|Exodus|Éxodo|exod
03|Leviticus|Levítico|levi
04|Numbers|Números|numb
05|Deuteronomy|Deuteronomio|deut
06|Joshua|Josué|josh
07|Judges|Jueces|judg
08|Ruth|Rut|ruth
09|1 Samuel|1 Samuel|sam1
10|2 Samuel|2 Samuel|sam2
11|1 Kings|1 Reyes|kgs1
12|2 Kings|2 Reyes|kgs2
13|1 Chronicles|1 Crónicas|chr1
14|2 Chronicles|2 Crónicas|chr2
15|Ezra|Esdras|ezra
16|Nehemiah|Nehemías|nehe
17|Esther|Ester|esth
18|Job|Job|job
19|Psalm|Salmo|psal
20|Proverbs|Proverbios|prov
21|Ecclesiastes|Eclesiastés|eccl
22|Song|Cantar de los Cantares|song
23|Isaiah|Isaías|isai
24|Jeremiah|Jeremías|jere
25|Lamentations|Lamentaciones|lame
26|Ezekiel|Ezequiel|ezek
27|Daniel|Daniel|dani
28|Hosea|Oseas|hose
29|Joel|Joel|joel
30|Amos|Amós|amos
31|Obadiah|Abdías|obad
32|Jonah|Jonás|jona
33|Micah|Miqueas|mica
34|Nahum|Nahúm|nahu
35|Habakkuk|Habacuc|haba
36|Zephaniah|Sofonías|zeph
37|Haggai|Hageo|hagg
38|Zechariah|Zacarías|zech
39|Malachi|Malaquías|mala
40|Matthew|Mateo|matt
41|Mark|Marcos|mark
42|Luke|Lucas|luke
43|John|Juan|john
44|Acts|Hechos|acts
45|Romans|Romanos|roma
46|1 Corinthians|1 Corintios|cor1
47|2 Corinthians|2 Corintios|cor2
48|Galatians|Gálatas|gala
49|Ephesians|Efesios|ephe
50|Philippians|Filipenses|phil
51|Colossians|Colosenses|colo
52|1 Thessalonians|1 Tesalonicenses|the1
53|2 Thessalonians|2 Tesalonicenses|the2
54|1 Timothy|1 Timoteo|tim1
55|2 Timothy|2 Timoteo|tim2
56|Titus|Tito|titu
57|Philemon|Filemón|phlm
58|Hebrews|Hebreos|hebr
59|James|Santiago|jame
60|1 Peter|1 Pedro|pet1
61|2 Peter|2 Pedro|pet2
62|1 John|1 Juan|joh1
63|2 John|2 Juan|joh2
64|3 John|3 Juan|joh3
65|Jude|Judas|jude
66|Revelation|Apocalipsis|reve